# Country: United States
# State: CA
# County: Riverside
# Bands: 2m, 70cm
# Download Type: detailed
# Total Repeaters: 65
#
Downlink,Uplink,Offset,Uplink Tone,Downlink Tone,DMR,Color Code,DMR ID,SYSTEM FUSION,DG‑ID,WIRES‑X,County,Grid Square,Call,Use,Status,Sponsor,Affiliate,FM,EchoLink,Coordination,Updated,Reviewed,EchoLink Node,EchoLink Status,EchoLink Callsign,EchoLink Location,EchoLink Last Activity,IRLP,IRLP Node,IRLP Status,IRLP Last Activity,IRLP Callsign,IRLP Location,Notes
147.88500,147.28500,-0.600,88.5,,false,,,,,,Riverside,,W6CPD,PRIVATE,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-369; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Corona; Modes: FM; Tone Up: 88.5
147.91500,147.31500,-0.600,123.0,,false,,,,,,Riverside,DM13nv,W6CDF,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-363; Yes; Analog Capable: 25.0 kHz (wideband); 1St & 3Rd Wed. At 18: 30.; Offset: -0.6 MHz; Location: Banning, Mt Edna; Modes: FM; Tone Up: 123.0"
147.91500,147.31500,-0.600,100.0,,false,,,,,,Riverside,,KI6IGR,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-6754; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Canyon Lake; Modes: FM; Tone Up: 100.0
147.97500,147.37500,-0.600,146.2,,false,,,,,,Riverside,,K6OEM,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-20049; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Menifee; Modes: FM; Tone Up: 146.2
445.02000,440.02000,-5.000,186.2,186.2,false,,,,,,Riverside,,W6CDF,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-17927; Yes; Analog Capable: 25.0 kHz (wideband); Links: Full-time to 223.88000 (WA6HYQ) at Santa Rosa Mtn, CA; Offset: -5 MHz; Location: Cactus City; Modes: FM; Tone Up: 186.2; Tone Down: 186.2"
445.06000,440.06000,-5.000,162.2,162.2,false,,,,,,Riverside,DM13gw,KB6OZX,OPEN,,,,25.0 kHz (wideband),161623,,,,161623,Error,,,,,,,,,,Repeater Id: 06-2419; Yes; Analog Capable: 25.0 kHz (wideband); Links: EchoLink:; Offset: -5 MHz; Location: Riverside; Modes: FM EchoLink; Tone Up: 162.2; Tone Down: 162.2
445.18000,440.18000,-5.000,,,false,,,,,,Riverside,,KJ6QFS,PRIVATE,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-16969; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Moreno Valley, Reche Peak; Modes: FM"
445.28000,440.28000,-5.000,114.8,114.8,false,,,,,,Riverside,DM13sm,K6VGP,PRIVATE,,DARN,,25.0 kHz (wideband),8722,,,,8722,Error,,,,3556,3556,"Extended Down for 287 days, 21 hours, 31 minutes, 26 seconds.Last heard from Node:18:19:01 on Nov 15 2024 PSTMapping options (Primary Only):Interactive mapperPublic Node Access procedures, Coverage and other info:",,nK6VGP,,Repeater Id: 06-20301; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Toro Peak; Modes: FM EchoLink IRLP; Tone Up: 114.8; Tone Down: 114.8
445.30000,440.30000,-5.000,100.0,,false,,,,,,Riverside,DM13kl,W6CDF,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-2414; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Temecula; Modes: FM; Tone Up: 100.0
445.38000,440.38000,-5.000,127.3,127.3,false,,,,,,Riverside,,WA6LSE,CLOSED,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-8126; Yes; Analog Capable: 25.0 kHz (wideband); <A Href=""Http: //www.K6RIA.net/"">Check Web site for Net Information</a>; Offset: -5 MHz; Location: Riverside, Box Springs; Modes: FM; Tone Up: 127.3; Tone Down: 127.3"
445.62000,440.62000,-5.000,173.8,173.8,false,,,,,,Riverside,,W6CDW,OPEN,,http://www.secretsquadronrc.com/,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-10943; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Lake Elsinore, Elsinore Peak; Modes: FM; Tone Up: 173.8; Tone Down: 173.8"
445.64000,440.64000,-5.000,131.8,131.8,false,,,,,,Riverside,DM13uu,WB6RLC,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,3540,3540,"Extended Down for 1272 days, 1 hours, 51 minutes, 2 seconds.Last heard from Node:14:00:05 on Mar 07 2022 PSTMapping options (Primary Only):Interactive mapperPublic Node Access procedures, Coverage and other info:",,WB6RLC,,"Repeater Id: 06-1006; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Palm Springs, Indio Hills; Modes: FM IRLP; Tone Up: 131.8; Tone Down: 131.8"
445.86000,440.86000,-5.000,103.5,114.8,false,,,,,,Riverside,,WB6YES,PRIVATE,,http://www.papasys.com,,25.0 kHz (wideband),9255,,,,9255,Error,,,,,,,,,,"Repeater Id: 06-21009; Yes; Analog Capable: 25.0 kHz (wideband); 🟢 Uptime: 13hr 14m 32s; New Hams Net Every Wednesday At 19: 00 (PT)<br>; Monthly System Net First Wednesday Of Each Month At 20: 00 (PT)<br>; Technical Round Table Every Thursday At 20: 00 (PT)<br>; Antenna Net Every Friday At 19: 00 (PT)<br>; Saturday Night Round Table Every Saturday At 20: 00 (PT)<br>; Offset: -5 MHz; Location: Palm Springs, Edom Hill; Modes: FM AllStar EchoLink; Tone Up: 103.5; Tone Down: 114.8"
446.06250,441.06250,-5.000,CC,2,true,2,,,,,Riverside,,WD6AML,OPEN,,,,,,,,,,,,,,,,,,,,Repeater Id: 06-16210; Offset: -5 MHz; Location: Cactus City; Modes: DMR; Tone Up: CC; Tone Down: 2
446.06250,441.06250,-5.000,CC,1,true,1,310724,,,,Riverside,,K6TMD,OPEN,,,,,,,,,,,,,,,,,,,,Repeater Id: 06-16060; Offset: -5 MHz; Location: Pine Cove; Modes: DMR; Tone Up: CC; Tone Down: 1
446.32000,441.32000,-5.000,127.3,141.3,false,,,,,,Riverside,DM13et,AA4CD,PRIVATE,,http://www.papasys.com,,25.0 kHz (wideband),9255,,,,9255,Error,,,,,,,,,,"Repeater Id: 06-21011; Yes; Analog Capable: 25.0 kHz (wideband); 🟢 Uptime: 13hr 15m 8s; New Hams Net Every Wednesday At 19: 00 (PT)<br>; Monthly System Net First Wednesday Of Each Month At 20: 00 (PT)<br>; Technical Round Table Every Thursday At 20: 00 (PT)<br>; Antenna Net Every Friday At 19: 00 (PT)<br>; Saturday Night Round Table Every Saturday At 20: 00 (PT)<br>; Offset: -5 MHz; Location: Corona, Pleasants Peak; Modes: FM AllStar EchoLink; Tone Up: 127.3; Tone Down: 141.3"
446.36000,441.36000,-5.000,NAC,,false,,,,,,Riverside,,WB6YES,CLOSED,,,,,,,,,,,,,,,,,,,,"Repeater Id: 06-21083; Offset: -5 MHz; Location: Corona, Pleasants Peak; Modes: P-25; Tone Up: NAC"
446.42000,441.42000,-5.000,D432,D432,false,,,,,,Riverside,DM13lr,KE6JGM,OPEN,,http://www.k6ldf.com,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-15093; Node: 91966                                              🟢 Active (ID KE6JGM-ND2); Room: N/A; Reflector: None found; Yes; Analog Capable: 25.0 kHz (wideband); Digital Only: Wednesday at 19:00 (PDT)Breakfast Net: Saturday at 10:00 (PDT); Offset: -5 MHz; Location: Hemet; Modes: FM Fusion WIRES-X; Tone Up: D432; Tone Down: D432
446.42000,441.42000,-5.000,79.7,79.7,false,,,,,,Riverside,,KK6SMA,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-13500; Node: 21829                                              🔴 Inactive; Room: N/A; Reflector: None found; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Moreno Valley; Modes: FM Fusion WIRES-X; Tone Up: 79.7; Tone Down: 79.7
446.58000,441.58000,-5.000,CC,1,true,1,310671,,,,Riverside,DM13su,K6IFR,OPEN,,The PAPA System,,,,,,,,,,,,,,,,,,"Repeater Id: 310671; Repeater Id: 06-12513; Offset: -5 MHz; Location: Palm Springs, Edom Hill; Modes: DMR; Tone Up: CC; Tone Down: 1"
446.60000,441.60000,-5.000,100.0,,false,,,,,,Riverside,,W6GTR,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-13743; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Murrieta , Loma Linda Hospital; Modes: FM Fusion; Tone Up: 100.0"
446.70000,441.70000,-5.000,103.5,114.8,false,,,,,,Riverside,DM13ho,AA4CD,PRIVATE,,http://www.papasys.com,,25.0 kHz (wideband),9255,,,,9255,Error,,,,,,,,,,"Repeater Id: 06-21012; Yes; Analog Capable: 25.0 kHz (wideband); 🟢 Uptime: 13hr 16m 18s; New Hams Net Every Wednesday At 19: 00 (PT)<br>; Monthly System Net First Wednesday Of Each Month At 20: 00 (PT)<br>; Technical Round Table Every Thursday At 20: 00 (PT)<br>; Antenna Net Every Friday At 19: 00 (PT)<br>; Saturday Night Round Table Every Saturday At 20: 00 (PT)<br>; Offset: -5 MHz; Location: Lake Elsinore, Elsinore Peak; Modes: FM AllStar EchoLink; Tone Up: 103.5; Tone Down: 114.8"
446.86000,441.86000,-5.000,100.0,,false,,,,,,Riverside,,K6JRM,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-8395; Yes; Analog Capable: 25.0 kHz (wideband); Listed On Win System Website As: 59 Blythe CA K6JRM 446.860 (-) 100.0 John's house in Ehrenberg, AZ AllStar 524721 Traffic heard on it 1/121 via website.; Offset: -5 MHz; Location: Blythe; Modes: FM AllStar; Tone Up: 100.0"
446.86000,441.86000,-5.000,100.0,100.0,false,,,,,,Riverside,,K6JRM,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,3912,3912,"9050 for 0 days, 2 hours, 0 minutes, 19 seconds.Last heard from Node:17:52:24 on Aug 30 2025 EDTMapping options (Primary Only):NoPublic Node Access procedures, Coverage and other info:",,WX6AAA,,Repeater Id: 06-5218; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Hemet; Modes: FM IRLP; Tone Up: 100.0; Tone Down: 100.0
447.02000,442.02000,-5.000,,,false,,,,,,Riverside,DM13mt,N6AJB,CLOSED,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-3147; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Gilman Hot Springs, Daniel Peak; Modes: FM"
447.06000,442.06000,-5.000,D503,D503,false,,,,,,Riverside,DM13ps,K6KEN,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-21135; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Pine Cove; Modes: FM Fusion; Tone Up: D503; Tone Down: D503
447.10000,442.10000,-5.000,136.5,136.5,false,,,,,,Riverside,DM13eu,WB6ORK,CLOSED,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-1187; Yes; Analog Capable: 25.0 kHz (wideband); Links: Full-time to 447.90000 (WB6ORK) at Las Vegas, Low Potosi Mtn, NV; 🟢 Uptime: 1d 7hr 10m 15s; Offset: -5 MHz; Location: Corona, Sierra Peak; Modes: FM AllStar; Tone Up: 136.5; Tone Down: 136.5"
447.32000,442.32000,-5.000,107.2,,false,,,,,,Riverside,,W6DRA,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-12824; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Palm Desert; Modes: FM; Tone Up: 107.2
447.32000,442.32000,-5.000,131.8,,false,,,,,,Riverside,,K6JR,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-6598; Estimated Area Coverage: 13 mi radius.; Yes; Analog Capable: 25.0 kHz (wideband); <B> <Mark> Scrrba Listing (As Of 18 November 2023): This repeater is not listed in the SCRRBA online database. </b> </mark> <br>; Rb: Current Repeater Record Custodian (RRC) for K6JR 447.32000 Palm Springs repeater (06-6598): K6JR.; Offset: -5 MHz; Location: Palm Springs, Edom Hill; Modes: FM; Tone Up: 131.8"
447.40000,442.40000,-5.000,100.0,100.0,false,,,,,,Riverside,DM13ln,KE6UPI,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-15756; Node: 91095                                              🔴 Inactive; Room: N/A; Reflector: None found; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Murrieta, Lake Skinner; Modes: FM Fusion WIRES-X; Tone Up: 100.0; Tone Down: 100.0"
447.48000,442.48000,-5.000,156.7,156.7,false,,,,,,Riverside,,N6MRN,OPEN,,Mountain Radio Network MRN Repeaters,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-3107; Yes; Analog Capable: 25.0 kHz (wideband); Links: Full-time to 145.34000 (N6MRN) at Santa Rosa Mtn, CA; Skywarn: Tues. at 18:30; Offset: -5 MHz; Location: Pine Cove; Modes: FM; Tone Up: 156.7; Tone Down: 156.7"
447.58000,442.58000,-5.000,100.0,,false,,,,,,Riverside,DM23dp,W6KSN,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-1007; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: Indio, Chiriaco Smt; Modes: FM; Tone Up: 100.0"
447.64000,442.64000,-5.000,103.5,114.8,false,,,,,,Riverside,,AI6BX,PRIVATE,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-23114; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -5 MHz; Location: San Jacinto, Daniel Peak; Modes: FM; Tone Up: 103.5; Tone Down: 114.8"
447.70000,442.70000,-5.000,CC,1,true,1,312063,,,,Riverside,,N6YMZ,OPEN,,N6YMZ,,,,,,,,,,,,,,,,,,"Talkgroups: TS1:TG3102,TS1:TG3104,TS2:TG3106; TS1: TG3102,TG3104; TS2: TG3106; Repeater Id: 06-19169; Offset: -5 MHz; Location: Blythe; Modes: DMR; Tone Up: CC; Tone Down: 1"
447.84000,442.84000,-5.000,,,false,,,,,,Riverside,DM13sm,WD6FZA,PRIVATE,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-1471; Yes; Analog Capable: 25.0 kHz (wideband); Papa 7: 1 of 13 linked repeaters covering southern California; Offset: -5 MHz; Location: Toro Peak; Modes: FM
447.90000,442.90000,-5.000,CC,1,true,1,110617,,,,Riverside,,WD6AML,OPEN,,,Western States DMR,,,,,,,,,,,,,,,,,"Repeater Id: 06-16208; Offset: -5 MHz; Location: Desert Center, Chuckwalla Mtns; Modes: DMR; Tone Up: CC; Tone Down: 1"
